"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 19:33:54 GMT 2024","Thu Feb 22 19:33:54 GMT 2024","67","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 19:33:56 GMT 2024","Thu Feb 22 19:33:57 GMT 2024","1062","test","test_hootel","TestHootel","","","test_hotel_list",""
