"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 19:36:24 GMT 2024","Thu Feb 22 19:36:26 GMT 2024","1880","test","test_hootel","TestHootel","","","Hootel Login","A belépés tesztelése"
"passed","Thu Feb 22 19:36:28 GMT 2024","Thu Feb 22 19:36:29 GMT 2024","1059","test","test_hootel","TestHootel","","","test_hotel_list",""
